No.,Blackboard_instructor_account,Password,Computing_Id,BB_User_role,User_account_type,Course
160,1000000160,password,s1000000160,Student,Database,_69_1
161,1000000161,password,s1000000161,Student,Database,_69_1
162,1000000162,password,s1000000162,Student,Database,_69_1
163,1000000163,password,s1000000163,Student,Database,_69_1
164,1000000164,password,s1000000164,Student,Database,_69_1
165,1000000165,password,s1000000165,Student,Database,_69_1
166,1000000166,password,s1000000166,Student,Database,_69_1
167,1000000167,password,s1000000167,Student,Database,_69_1
168,1000000168,password,s1000000168,Student,Database,_69_1
169,1000000169,password,s1000000169,Student,Database,_69_1
170,1000000170,password,s1000000170,Student,Database,_69_1
171,1000000171,password,s1000000171,Student,Database,_69_1
172,1000000172,password,s1000000172,Student,Database,_69_1
173,1000000173,password,s1000000173,Student,Database,_69_1
174,1000000174,password,s1000000174,Student,Database,_69_1
175,1000000175,password,s1000000175,Student,Database,_69_1
176,1000000176,password,s1000000176,Student,Database,_69_1
177,1000000177,password,s1000000177,Student,Database,_69_1
178,1000000178,password,s1000000178,Student,Database,_69_1
179,1000000179,password,s1000000179,Student,Database,_69_1
180,1000000180,password,s1000000180,Student,Database,_69_1
181,1000000181,password,s1000000181,Student,Database,_69_1
182,1000000182,password,s1000000182,Student,Database,_69_1
183,1000000183,password,s1000000183,Student,Database,_69_1
184,1000000184,password,s1000000184,Student,Database,_69_1
185,1000000185,password,s1000000185,Student,Database,_69_1
186,1000000186,password,s1000000186,Student,Database,_69_1
187,1000000187,password,s1000000187,Student,Database,_69_1
188,1000000188,password,s1000000188,Student,Database,_69_1
189,1000000189,password,s1000000189,Student,Database,_69_1
190,1000000190,password,s1000000190,Student,Database,_69_1
191,1000000191,password,s1000000191,Student,Database,_69_1
192,1000000192,password,s1000000192,Student,Database,_69_1
193,1000000193,password,s1000000193,Student,Database,_69_1
194,1000000194,password,s1000000194,Student,Database,_69_1
195,1000000195,password,s1000000195,Student,Database,_69_1
196,1000000196,password,s1000000196,Student,Database,_69_1
197,1000000197,password,s1000000197,Student,Database,_69_1
198,1000000198,password,s1000000198,Student,Database,_69_1
199,1000000199,password,s1000000199,Student,Database,_69_1
200,1000000200,password,s1000000200,Student,Database,_69_1
201,1000000201,password,s1000000201,Student,Database,_70_1
202,1000000202,password,s1000000202,Student,Database,_70_1
203,1000000203,password,s1000000203,Student,Database,_70_1
204,1000000204,password,s1000000204,Student,Database,_70_1
205,1000000205,password,s1000000205,Student,Database,_70_1
206,1000000206,password,s1000000206,Student,Database,_70_1
207,1000000207,password,s1000000207,Student,Database,_70_1
208,1000000208,password,s1000000208,Student,Database,_70_1
209,1000000209,password,s1000000209,Student,Database,_70_1
210,1000000210,password,s1000000210,Student,Database,_70_1
211,1000000211,password,s1000000211,Student,Database,_70_1
212,1000000212,password,s1000000212,Student,Database,_70_1
213,1000000213,password,s1000000213,Student,Database,_70_1
214,1000000214,password,s1000000214,Student,Database,_70_1
215,1000000215,password,s1000000215,Student,Database,_70_1
216,1000000216,password,s1000000216,Student,Database,_70_1
217,1000000217,password,s1000000217,Student,Database,_70_1
218,1000000218,password,s1000000218,Student,Database,_70_1
219,1000000219,password,s1000000219,Student,Database,_70_1
220,1000000220,password,s1000000220,Student,Database,_70_1
221,1000000221,password,s1000000221,Student,Database,_70_1
222,1000000222,password,s1000000222,Student,Database,_70_1
223,1000000223,password,s1000000223,Student,Database,_70_1
224,1000000224,password,s1000000224,Student,Database,_70_1
225,1000000225,password,s1000000225,Student,Database,_70_1
226,1000000226,password,s1000000226,Student,Database,_70_1
227,1000000227,password,s1000000227,Student,Database,_70_1
228,1000000228,password,s1000000228,Student,Database,_70_1
229,1000000229,password,s1000000229,Student,Database,_70_1
230,1000000230,password,s1000000230,Student,Database,_70_1
231,1000000231,password,s1000000231,Student,Database,_70_1
232,1000000232,password,s1000000232,Student,Database,_70_1
233,1000000233,password,s1000000233,Student,Database,_70_1
234,1000000234,password,s1000000234,Student,Database,_70_1
235,1000000235,password,s1000000235,Student,Database,_70_1
236,1000000236,password,s1000000236,Student,Database,_70_1
237,1000000237,password,s1000000237,Student,Database,_70_1
238,1000000238,password,s1000000238,Student,Database,_70_1
239,1000000239,password,s1000000239,Student,Database,_70_1
240,1000000240,password,s1000000240,Student,Database,_70_1
241,1000000241,password,s1000000241,Student,Database,_70_1
242,1000000242,password,s1000000242,Student,Database,_70_1
243,1000000243,password,s1000000243,Student,Database,_70_1
244,1000000244,password,s1000000244,Student,Database,_70_1
245,1000000245,password,s1000000245,Student,Database,_70_1
246,1000000246,password,s1000000246,Student,Database,_70_1
247,1000000247,password,s1000000247,Student,Database,_70_1
248,1000000248,password,s1000000248,Student,Database,_70_1
249,1000000249,password,s1000000249,Student,Database,_70_1
250,1000000250,password,s1000000250,Student,Database,_70_1
251,1000000251,password,s1000000251,Student,Database,_70_1
252,1000000252,password,s1000000252,Student,Database,_70_1
253,1000000253,password,s1000000253,Student,Database,_70_1
254,1000000254,password,s1000000254,Student,Database,_70_1
255,1000000255,password,s1000000255,Student,Database,_70_1
256,1000000256,password,s1000000256,Student,Database,_70_1
257,1000000257,password,s1000000257,Student,Database,_70_1
258,1000000258,password,s1000000258,Student,Database,_70_1
259,1000000259,password,s1000000259,Student,Database,_70_1
260,1000000260,password,s1000000260,Student,Database,_70_1
261,1000000261,password,s1000000261,Student,Database,_70_1
262,1000000262,password,s1000000262,Student,Database,_70_1
263,1000000263,password,s1000000263,Student,Database,_70_1
264,1000000264,password,s1000000264,Student,Database,_70_1
265,1000000265,password,s1000000265,Student,Database,_70_1
266,1000000266,password,s1000000266,Student,Database,_70_1
267,1000000267,password,s1000000267,Student,Database,_70_1
268,1000000268,password,s1000000268,Student,Database,_70_1
269,1000000269,password,s1000000269,Student,Database,_70_1
270,1000000270,password,s1000000270,Student,Database,_70_1
271,1000000271,password,s1000000271,Student,Database,_70_1
272,1000000272,password,s1000000272,Student,Database,_70_1
273,1000000273,password,s1000000273,Student,Database,_70_1
274,1000000274,password,s1000000274,Student,Database,_70_1
275,1000000275,password,s1000000275,Student,Database,_70_1
276,1000000276,password,s1000000276,Student,Database,_70_1
277,1000000277,password,s1000000277,Student,Database,_70_1
278,1000000278,password,s1000000278,Student,Database,_70_1
279,1000000279,password,s1000000279,Student,Database,_70_1
280,1000000280,password,s1000000280,Student,Database,_70_1
281,1000000281,password,s1000000281,Student,Database,_70_1
282,1000000282,password,s1000000282,Student,Database,_70_1
283,1000000283,password,s1000000283,Student,Database,_70_1
284,1000000284,password,s1000000284,Student,Database,_70_1
285,1000000285,password,s1000000285,Student,Database,_70_1
286,1000000286,password,s1000000286,Student,Database,_70_1
287,1000000287,password,s1000000287,Student,Database,_70_1
288,1000000288,password,s1000000288,Student,Database,_70_1
289,1000000289,password,s1000000289,Student,Database,_70_1
290,1000000290,password,s1000000290,Student,Database,_70_1
291,1000000291,password,s1000000291,Student,Database,_70_1
292,1000000292,password,s1000000292,Student,Database,_70_1
293,1000000293,password,s1000000293,Student,Database,_70_1
294,1000000294,password,s1000000294,Student,Database,_70_1
295,1000000295,password,s1000000295,Student,Database,_70_1
296,1000000296,password,s1000000296,Student,Database,_70_1
297,1000000297,password,s1000000297,Student,Database,_70_1
298,1000000298,password,s1000000298,Student,Database,_70_1
299,1000000299,password,s1000000299,Student,Database,_70_1
300,1000000300,password,s1000000300,Student,Database,_70_1
301,1000000301,password,s1000000301,Student,Database,_71_1
302,1000000302,password,s1000000302,Student,Database,_71_1
303,1000000303,password,s1000000303,Student,Database,_71_1
304,1000000304,password,s1000000304,Student,Database,_71_1
305,1000000305,password,s1000000305,Student,Database,_71_1
306,1000000306,password,s1000000306,Student,Database,_71_1
307,1000000307,password,s1000000307,Student,Database,_71_1
308,1000000308,password,s1000000308,Student,Database,_71_1
309,1000000309,password,s1000000309,Student,Database,_71_1
310,1000000310,password,s1000000310,Student,Database,_71_1
311,1000000311,password,s1000000311,Student,Database,_71_1
312,1000000312,password,s1000000312,Student,Database,_71_1
313,1000000313,password,s1000000313,Student,Database,_71_1
314,1000000314,password,s1000000314,Student,Database,_71_1
315,1000000315,password,s1000000315,Student,Database,_71_1
316,1000000316,password,s1000000316,Student,Database,_71_1
317,1000000317,password,s1000000317,Student,Database,_71_1
318,1000000318,password,s1000000318,Student,Database,_71_1
319,1000000319,password,s1000000319,Student,Database,_71_1
320,1000000320,password,s1000000320,Student,Database,_71_1
321,1000000321,password,s1000000321,Student,Database,_71_1
322,1000000322,password,s1000000322,Student,Database,_71_1
323,1000000323,password,s1000000323,Student,Database,_71_1
324,1000000324,password,s1000000324,Student,Database,_71_1
325,1000000325,password,s1000000325,Student,Database,_71_1
326,1000000326,password,s1000000326,Student,Database,_71_1
327,1000000327,password,s1000000327,Student,Database,_71_1
328,1000000328,password,s1000000328,Student,Database,_71_1
329,1000000329,password,s1000000329,Student,Database,_71_1
330,1000000330,password,s1000000330,Student,Database,_71_1
331,1000000331,password,s1000000331,Student,Database,_71_1
332,1000000332,password,s1000000332,Student,Database,_71_1
333,1000000333,password,s1000000333,Student,Database,_71_1
334,1000000334,password,s1000000334,Student,Database,_71_1
335,1000000335,password,s1000000335,Student,Database,_71_1
336,1000000336,password,s1000000336,Student,Database,_71_1
337,1000000337,password,s1000000337,Student,Database,_71_1
338,1000000338,password,s1000000338,Student,Database,_71_1
339,1000000339,password,s1000000339,Student,Database,_71_1
340,1000000340,password,s1000000340,Student,Database,_71_1
341,1000000341,password,s1000000341,Student,Database,_71_1
342,1000000342,password,s1000000342,Student,Database,_71_1
343,1000000343,password,s1000000343,Student,Database,_71_1
344,1000000344,password,s1000000344,Student,Database,_71_1
345,1000000345,password,s1000000345,Student,Database,_71_1
346,1000000346,password,s1000000346,Student,Database,_71_1
347,1000000347,password,s1000000347,Student,Database,_71_1
348,1000000348,password,s1000000348,Student,Database,_71_1
349,1000000349,password,s1000000349,Student,Database,_71_1
350,1000000350,password,s1000000350,Student,Database,_71_1
351,1000000351,password,s1000000351,Student,Database,_71_1
352,1000000352,password,s1000000352,Student,Database,_71_1
353,1000000353,password,s1000000353,Student,Database,_71_1
354,1000000354,password,s1000000354,Student,Database,_71_1
355,1000000355,password,s1000000355,Student,Database,_71_1
356,1000000356,password,s1000000356,Student,Database,_71_1
357,1000000357,password,s1000000357,Student,Database,_71_1
358,1000000358,password,s1000000358,Student,Database,_71_1
359,1000000359,password,s1000000359,Student,Database,_71_1
360,1000000360,password,s1000000360,Student,Database,_71_1
361,1000000361,password,s1000000361,Student,Database,_71_1
362,1000000362,password,s1000000362,Student,Database,_71_1
363,1000000363,password,s1000000363,Student,Database,_71_1
364,1000000364,password,s1000000364,Student,Database,_71_1
365,1000000365,password,s1000000365,Student,Database,_71_1
366,1000000366,password,s1000000366,Student,Database,_71_1
367,1000000367,password,s1000000367,Student,Database,_71_1
368,1000000368,password,s1000000368,Student,Database,_71_1
369,1000000369,password,s1000000369,Student,Database,_71_1
370,1000000370,password,s1000000370,Student,Database,_71_1
371,1000000371,password,s1000000371,Student,Database,_71_1
372,1000000372,password,s1000000372,Student,Database,_71_1
373,1000000373,password,s1000000373,Student,Database,_71_1
374,1000000374,password,s1000000374,Student,Database,_71_1
375,1000000375,password,s1000000375,Student,Database,_71_1
376,1000000376,password,s1000000376,Student,Database,_71_1
377,1000000377,password,s1000000377,Student,Database,_71_1
378,1000000378,password,s1000000378,Student,Database,_71_1
379,1000000379,password,s1000000379,Student,Database,_71_1
380,1000000380,password,s1000000380,Student,Database,_71_1
381,1000000381,password,s1000000381,Student,Database,_71_1
382,1000000382,password,s1000000382,Student,Database,_71_1
383,1000000383,password,s1000000383,Student,Database,_71_1
384,1000000384,password,s1000000384,Student,Database,_71_1
385,1000000385,password,s1000000385,Student,Database,_71_1
386,1000000386,password,s1000000386,Student,Database,_71_1
387,1000000387,password,s1000000387,Student,Database,_71_1
388,1000000388,password,s1000000388,Student,Database,_71_1
389,1000000389,password,s1000000389,Student,Database,_71_1
390,1000000390,password,s1000000390,Student,Database,_71_1
391,1000000391,password,s1000000391,Student,Database,_71_1
392,1000000392,password,s1000000392,Student,Database,_71_1
393,1000000393,password,s1000000393,Student,Database,_71_1
394,1000000394,password,s1000000394,Student,Database,_71_1
395,1000000395,password,s1000000395,Student,Database,_71_1
396,1000000396,password,s1000000396,Student,Database,_71_1
397,1000000397,password,s1000000397,Student,Database,_71_1
398,1000000398,password,s1000000398,Student,Database,_71_1
399,1000000399,password,s1000000399,Student,Database,_71_1
400,1000000400,password,s1000000400,Student,Database,_71_1
401,1000000401,password,s1000000401,Student,Database,_72_1
402,1000000402,password,s1000000402,Student,Database,_72_1
403,1000000403,password,s1000000403,Student,Database,_72_1
404,1000000404,password,s1000000404,Student,Database,_72_1
405,1000000405,password,s1000000405,Student,Database,_72_1
406,1000000406,password,s1000000406,Student,Database,_72_1
407,1000000407,password,s1000000407,Student,Database,_72_1
408,1000000408,password,s1000000408,Student,Database,_72_1
409,1000000409,password,s1000000409,Student,Database,_72_1
410,1000000410,password,s1000000410,Student,Database,_72_1
411,1000000411,password,s1000000411,Student,Database,_72_1
412,1000000412,password,s1000000412,Student,Database,_72_1
413,1000000413,password,s1000000413,Student,Database,_72_1
414,1000000414,password,s1000000414,Student,Database,_72_1
415,1000000415,password,s1000000415,Student,Database,_72_1
416,1000000416,password,s1000000416,Student,Database,_72_1
417,1000000417,password,s1000000417,Student,Database,_72_1
418,1000000418,password,s1000000418,Student,Database,_72_1
419,1000000419,password,s1000000419,Student,Database,_72_1
420,1000000420,password,s1000000420,Student,Database,_72_1
421,1000000421,password,s1000000421,Student,Database,_72_1
422,1000000422,password,s1000000422,Student,Database,_72_1
423,1000000423,password,s1000000423,Student,Database,_72_1
424,1000000424,password,s1000000424,Student,Database,_72_1
425,1000000425,password,s1000000425,Student,Database,_72_1
426,1000000426,password,s1000000426,Student,Database,_72_1
427,1000000427,password,s1000000427,Student,Database,_72_1
428,1000000428,password,s1000000428,Student,Database,_72_1
429,1000000429,password,s1000000429,Student,Database,_72_1
430,1000000430,password,s1000000430,Student,Database,_72_1
431,1000000431,password,s1000000431,Student,Database,_72_1
432,1000000432,password,s1000000432,Student,Database,_72_1
433,1000000433,password,s1000000433,Student,Database,_72_1
434,1000000434,password,s1000000434,Student,Database,_72_1
435,1000000435,password,s1000000435,Student,Database,_72_1
436,1000000436,password,s1000000436,Student,Database,_72_1
437,1000000437,password,s1000000437,Student,Database,_72_1
438,1000000438,password,s1000000438,Student,Database,_72_1
439,1000000439,password,s1000000439,Student,Database,_72_1
440,1000000440,password,s1000000440,Student,Database,_72_1
441,1000000441,password,s1000000441,Student,Database,_72_1
442,1000000442,password,s1000000442,Student,Database,_72_1
443,1000000443,password,s1000000443,Student,Database,_72_1
444,1000000444,password,s1000000444,Student,Database,_72_1
445,1000000445,password,s1000000445,Student,Database,_72_1
446,1000000446,password,s1000000446,Student,Database,_72_1
447,1000000447,password,s1000000447,Student,Database,_72_1
448,1000000448,password,s1000000448,Student,Database,_72_1
449,1000000449,password,s1000000449,Student,Database,_72_1
450,1000000450,password,s1000000450,Student,Database,_72_1
451,1000000451,password,s1000000451,Student,Database,_72_1
452,1000000452,password,s1000000452,Student,Database,_72_1
453,1000000453,password,s1000000453,Student,Database,_72_1
454,1000000454,password,s1000000454,Student,Database,_72_1
455,1000000455,password,s1000000455,Student,Database,_72_1
456,1000000456,password,s1000000456,Student,Database,_72_1
457,1000000457,password,s1000000457,Student,Database,_72_1
458,1000000458,password,s1000000458,Student,Database,_72_1
459,1000000459,password,s1000000459,Student,Database,_72_1
460,1000000460,password,s1000000460,Student,Database,_72_1
461,1000000461,password,s1000000461,Student,Database,_72_1
462,1000000462,password,s1000000462,Student,Database,_72_1
463,1000000463,password,s1000000463,Student,Database,_72_1
464,1000000464,password,s1000000464,Student,Database,_72_1
465,1000000465,password,s1000000465,Student,Database,_72_1
466,1000000466,password,s1000000466,Student,Database,_72_1
467,1000000467,password,s1000000467,Student,Database,_72_1
468,1000000468,password,s1000000468,Student,Database,_72_1
469,1000000469,password,s1000000469,Student,Database,_72_1
470,1000000470,password,s1000000470,Student,Database,_72_1
471,1000000471,password,s1000000471,Student,Database,_72_1
472,1000000472,password,s1000000472,Student,Database,_72_1
473,1000000473,password,s1000000473,Student,Database,_72_1
474,1000000474,password,s1000000474,Student,Database,_72_1
475,1000000475,password,s1000000475,Student,Database,_72_1
476,1000000476,password,s1000000476,Student,Database,_72_1
477,1000000477,password,s1000000477,Student,Database,_72_1
478,1000000478,password,s1000000478,Student,Database,_72_1
479,1000000479,password,s1000000479,Student,Database,_72_1
480,1000000480,password,s1000000480,Student,Database,_72_1
481,1000000481,password,s1000000481,Student,Database,_72_1
482,1000000482,password,s1000000482,Student,Database,_72_1
483,1000000483,password,s1000000483,Student,Database,_72_1
484,1000000484,password,s1000000484,Student,Database,_72_1
485,1000000485,password,s1000000485,Student,Database,_72_1
486,1000000486,password,s1000000486,Student,Database,_72_1
487,1000000487,password,s1000000487,Student,Database,_72_1
488,1000000488,password,s1000000488,Student,Database,_72_1
489,1000000489,password,s1000000489,Student,Database,_72_1
490,1000000490,password,s1000000490,Student,Database,_72_1
491,1000000491,password,s1000000491,Student,Database,_72_1
492,1000000492,password,s1000000492,Student,Database,_72_1
493,1000000493,password,s1000000493,Student,Database,_72_1
494,1000000494,password,s1000000494,Student,Database,_72_1
495,1000000495,password,s1000000495,Student,Database,_72_1
496,1000000496,password,s1000000496,Student,Database,_72_1
497,1000000497,password,s1000000497,Student,Database,_72_1
498,1000000498,password,s1000000498,Student,Database,_72_1
499,1000000499,password,s1000000499,Student,Database,_72_1
500,1000000500,password,s1000000500,Student,Database,_72_1
